,game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
79,2335139,932.0,0.0,2.0,Leonid Kuchuk,3691.0,0.0,13.0,Vasiliy Baskakov,Home,0
80,2335158,2700.0,0.0,16.0,Gadzhi Gadzhiev,232.0,1.0,3.0,Valeriy Karpin,Home,0
81,2335181,1083.0,0.0,8.0,Miodrag Bozovic,2410.0,0.0,4.0,Leonid Slutski,Home,0
82,2335202,1083.0,0.0,10.0,Miodrag Bozovic,232.0,1.0,3.0,Valeriy Karpin,Home,0
83,2335209,121.0,4.0,4.0,Dan Petrescu,2410.0,2.0,5.0,Leonid Slutski,Home,1
84,2335225,2698.0,2.0,10.0,Rinat Bilyaletdinov,232.0,1.0,5.0,Dmitriy Gunko,Home,1
85,2335226,932.0,2.0,2.0,Leonid Kuchuk,3725.0,1.0,12.0,Rashid Rakhimov,Home,1
86,2335237,932.0,0.0,2.0,Leonid Kuchuk,2700.0,0.0,16.0,Gadzhi Gadzhiev,Home,0
87,2335245,2700.0,4.0,16.0,Gadzhi Gadzhiev,121.0,0.0,4.0,Dan Petrescu,Home,1
88,2335248,3725.0,3.0,11.0,Rashid Rakhimov,1083.0,0.0,8.0,Miodrag Bozovic,Home,1
89,2335257,12438.0,0.0,15.0,Yuriy Kalitvintsev,3691.0,1.0,12.0,Vasiliy Baskakov,Home,0
90,2335264,2698.0,3.0,9.0,Rinat Bilyaletdinov,12438.0,1.0,13.0,Yuriy Kalitvintsev,Home,1
91,2335273,2410.0,2.0,1.0,Leonid Slutski,3691.0,0.0,13.0,Vasiliy Baskakov,Home,1
92,2335276,4128.0,1.0,8.0,Konstantin Paramonov,2410.0,3.0,3.0,Leonid Slutski,Home,0
93,2335296,2700.0,0.0,16.0,Gadzhi Gadzhiev,2696.0,1.0,14.0,Vladimir Kukhlevskiy,Home,0
94,2335629,16245.0,1.0,2.0,Oleg Kononov,6992.0,1.0,11.0,Roman Grygorchuk,Home,0
95,2335645,660.0,1.0,1.0,Mircea Lucescu,6992.0,0.0,13.0,Roman Grygorchuk,Home,1
96,2335657,6414.0,4.0,2.0,Myron Markevych,4482.0,0.0,14.0,Vitaliy Kvartsyanyi,Home,1
97,2335661,10690.0,2.0,4.0,Yuriy Vernydub,6414.0,2.0,2.0,Myron Markevych,Home,0
98,2335673,2477.0,1.0,9.0,Oleksandr Sevidov,6996.0,0.0,13.0,Vyacheslav Groznyi,Home,1
99,2335681,6994.0,2.0,12.0,Sergiy Puchkov,339.0,3.0,2.0,Juande Ramos,Home,0
