,game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
11,3208842,ES1,2019,21. Matchday,2020-01-25,1108.0,1050.0,1.0,2.0,14.0,8.0,Asier Garitano,Javier Calleja,Mendizorroza,18153.0,José Luis Munuera Montero,https://www.transfermarkt.co.uk/deportivo-alaves_villarreal-cf/index/spielbericht/3208842,4-4-2 double 6,4-3-3 Attacking,Deportivo Alavés S.A.D.,Villarreal Club de Fútbol S.A.D.,1:2,domestic_league
12,3210002,ES1,2019,27. Matchday,2020-03-07,3709.0,940.0,0.0,0.0,4.0,17.0,Pepe Bordalás,Óscar García,Coliseum,11286.0,José María Sánchez Martínez,https://www.transfermarkt.co.uk/getafe-cf_celta-de-vigo/index/spielbericht/3210002,4-4-2,3-4-1-2,Getafe Club de Fútbol S.A.D. Team Dubai,Real Club Celta de Vigo S. A. D.,0:0,domestic_league
13,3210006,ES1,2019,27. Matchday,2020-03-08,366.0,621.0,1.0,4.0,15.0,10.0,Sergio,Gaizka Garitano,José Zorrilla,21632.0,José Luis Munuera Montero,https://www.transfermarkt.co.uk/real-valladolid-cf_athletic-bilbao/index/spielbericht/3210006,3-4-3,4-2-3-1,Real Valladolid Club de Fútbol S.A.D.,Athletic Club Bilbao,1:4,domestic_league
14,3210016,ES1,2019,28. Matchday,2020-06-14,621.0,13.0,1.0,1.0,10.0,5.0,Gaizka Garitano,Diego Simeone,San Mamés,,González González,https://www.transfermarkt.co.uk/athletic-bilbao_atletico-de-madrid/index/spielbericht/3210016,4-2-3-1,4-4-2 double 6,Athletic Club Bilbao,Club Atlético de Madrid S.A.D.,1:1,domestic_league
15,3210098,ES1,2019,33. Matchday,2020-06-30,237.0,940.0,5.0,1.0,18.0,17.0,Vicente Moreno,Óscar García,Mallorca Son Moix,,De Burgos Bengoetxea,https://www.transfermarkt.co.uk/rcd-mallorca_celta-de-vigo/index/spielbericht/3210098,4-4-1-1,4-1-4-1,Real Club Deportivo Mallorca S.A.D.,Real Club Celta de Vigo S. A. D.,5:1,domestic_league
16,3210107,ES1,2019,34. Matchday,2020-07-04,16795.0,1049.0,2.0,2.0,10.0,9.0,Diego Martínez,Voro,Nuevo Los Cármenes,,Adrián Cordero Vega,https://www.transfermarkt.co.uk/granada-cf_valencia-cf/index/spielbericht/3210107,5-4-1,4-4-2 double 6,Granada CF,Valencia Club de Fútbol S. A. D.,2:2,domestic_league
17,3210447,DK1,2019,25. Matchday,2020-05-31,3426.0,1053.0,1.0,1.0,13.0,6.0,Lars Olsen,Jacob Friis,Blue Water Arena,,Jakob Kehlet,https://www.transfermarkt.co.uk/esbjerg-fb_aalborg-bk/index/spielbericht/3210447,4-2-3-1,4-3-3 Attacking,Esbjerg fB,Aalborg Boldspilklub,1:1,domestic_league
18,3211783,PO1,2019,16. Matchday,2020-01-10,294.0,3336.0,2.0,1.0,1.0,18.0,Bruno Lage,Nuno Manta Santos,Estádio da Luz,50760.0,Carlos Xistra,https://www.transfermarkt.co.uk/sl-benfica_desportivo-aves-2020-/index/spielbericht/3211783,4-4-1-1,4-1-4-1,Sport Lisboa e Benfica,Desportivo Aves (- 2020),2:1,domestic_league
19,3212619,PO1,2019,26. Matchday,2020-06-11,7179.0,3336.0,2.0,0.0,14.0,18.0,Natxo González,Nuno Manta Santos,Estádio João Cardoso,,Rui Oliveira,https://www.transfermarkt.co.uk/cd-tondela_desportivo-aves-2020-/index/spielbericht/3212619,4-4-2 double 6,4-3-3 Attacking,CD Tondela,Desportivo Aves (- 2020),2:0,domestic_league
20,3219162,GB1,2019,37. Matchday,2020-07-22,985.0,379.0,1.0,1.0,3.0,15.0,Ole Gunnar Solskjær,David Moyes,Old Trafford,,Paul Tierney,https://www.transfermarkt.co.uk/manchester-united_west-ham-united/index/spielbericht/3219162,4-2-3-1,4-2-3-1,Manchester United Football Club,West Ham United Football Club,1:1,domestic_league
21,3219187,GB1,2019,26. Matchday,2020-02-14,543.0,1003.0,0.0,0.0,8.0,3.0,Nuno Espírito Santo,Brendan Rodgers,Molineux Stadium,31682.0,Mike Dean,https://www.transfermarkt.co.uk/wolverhampton-wanderers_leicester-city/index/spielbericht/3219187,3-4-3,4-1-4-1,Wolverhampton Wanderers Football Club,Leicester City Football Club,0:0,domestic_league
22,3219201,GB1,2019,33. Matchday,2020-07-05,762.0,379.0,2.0,2.0,12.0,16.0,Steve Bruce,David Moyes,St James' Park,,Craig Pawson,https://www.transfermarkt.co.uk/newcastle-united_west-ham-united/index/spielbericht/3219201,4-2-3-1,4-2-3-1,Newcastle United Football Club,West Ham United Football Club,2:2,domestic_league
23,3219203,GB1,2019,28. Matchday,2020-06-17,405.0,350.0,0.0,0.0,19.0,7.0,Dean Smith,Chris Wilder,Villa Park,,Michael Oliver,https://www.transfermarkt.co.uk/aston-villa_sheffield-united/index/spielbericht/3219203,4-3-3 Attacking,3-5-2 flat,Aston Villa Football Club,Sheffield United,0:0,domestic_league
24,3223175,TR1,2019,19. Matchday,2020-01-24,820.0,2832.0,1.0,0.0,13.0,9.0,Hamza Hamzaoğlu,Marius Șumudică,Eryaman Stadyumu,2428.0,Mete Kalkavan,https://www.transfermarkt.co.uk/genclerbirligi-ankara_gaziantep-fk/index/spielbericht/3223175,4-2-3-1,5-3-2,Genclerbirligi Ankara,Gaziantep Futbol Kulübü A.Ş.,1:0,domestic_league
25,3223263,TR1,2019,28. Matchday,2020-06-22,589.0,126.0,3.0,1.0,9.0,14.0,Tamer Tuna,Ünal Karaman,Corendon Airlines Park Antalya Stadı,,Suat Arslanboğa,https://www.transfermarkt.co.uk/antalyaspor_caykur-rizespor/index/spielbericht/3223263,4-4-2 double 6,4-2-3-1,Antalyaspor,Çaykur Rizespor Kulübü,3:1,domestic_league
26,3223267,TR1,2019,29. Matchday,2020-06-28,6890.0,141.0,1.0,1.0,1.0,4.0,Okan Buruk,Fatih Terim,Başakşehir Fatih Terim,,Ali Palabıyık,https://www.transfermarkt.co.uk/basaksehir-fk_galatasaray/index/spielbericht/3223267,4-1-4-1,4-1-4-1,İstanbul Başakşehir Futbol Kulübü,Galatasaray Spor Kulübü,1:1,domestic_league
